Channel Name,Subscribers,Total Views,Avg. Likes,Engagement Rate,Upload Frequency,Video Titles,Input URL,Channel ID,Total Videos,Error
Anurag Aggarwal: Business Coach,5240000,1972641996,44293.73,0.8453,0.61 videos/week,"['Kill your loan fast | Anurag Aggarwal | In Hindi #loan', 'Ultimate Guide To Health Insurance 2025 | Anurag Aggarwal | In Hindi #healthinsurance', 'Top 10 selling cars (Jan 2025) | Anurag Aggarwal | #top10 #cars #2025', 'Top 10 stock exchanges worldwide | Anurag Aggarwal | #top10 #stockmarket', 'Top 5 pharma companies by market cap | Anurag Aggarwal | #top10 #vs', 'Top 10 car companies | Anurag Aggarwal', 'Name countries that start and end with same letter | Anurag Aggarwal', 'Top 10 peaceful countries in 2024 | Anurag Aggarwal', 'Top 10 Greatest Men of all Times | Anurag Aggarwal', 'Zerodha VS Fyers VS Dhan | Anurag Aggarwal', 'Invest wisely in Real Estate | Master Real Estate in Minutes | Anurag Aggarwal', '₹20,000 to ₹50,000: 10 Tips to Increase Your Income from Home! #income #finance', 'Top 10 theme parks 2024 | Anurag Aggarwal', 'Top 10 Comedians | Anurag Aggarwal', 'Fanbase of the following actors called? | Anurag Aggarwal']",Anurag Aggarwal: Business Coach,UCBM6AwaDl8uPVAN_BUIqPUw,1398,
bekifaayati,1870000,549423804,10308.33,0.5512,5.65 videos/week,"['GST on UPI Transactions', '2 FREE Flight Tickets || Best Travel Credit Card', 'Best HDFC Credit Card ||  HDFC Credit Card - Best in 2025', 'Should You Rent or Buy a House? What Makes More Sense in 2025', 'Pay 2X for your Car', 'Challan Kat Gaya', 'SIP ka Sacch', 'Home Loan Prepayment Penalty', 'Car Modification Rules', 'BEST Health Insurance Plans 2025 : Niva Bupa Health Insurance vs HDFC Ergo Optima Secure', 'Mummy ko Scam se bacha liya || UPI Circle', 'Best AC to Buy? 3 Star vs 5 Atar', 'How Car Dealers Scam You', 'Earn Lakhs from Gold', 'Best Investment Plan for Monthly Income  || 6 Schemes for ₹60,000 Fixed Income']",bekifaayati,UCdvOCtR3a9ICLAw0DD3DpXg,903,
Invest Aaj For Kal,3010000,709376349,13802.93,0.4586,10.99 videos/week,"['Stocks buy at 40% discount', 'Operator stock pata karne ki trick', 'NRI Demat account opening - Step by Step process | NRI (Non resident Indian) Demat account opening', '50000 Rs per girl child', '5000 Rs per month | Skill vs marks', 'Bitcoin, Nifty, Gold - Analysis | Stock market crash again? |', 'Car sale pe 2 lakh Rs loss', 'Ather Energy IPO | Will It Ride India’s EV Growth? | Price, Anchor book and Details |', 'India vs Pakistan War - Stock market history', 'India vs Pakistan war? Stock market crash?', 'Pahalgam Attack - India Vs Pakistan war - Stock market crash?', 'Earn regular income with Option selling strategy with 0 unhedged risk | Future and Option Simplified', 'Indus water treaty - Impact on Pakistan?', 'Stock market ready to fall again? 24/4/2025', 'Pahalgam Attack - Kashmir']",Invest Aaj For Kal,UCWHCXSKASuSzao_pplQ7SPw,2951,
Learn With Lokesh Lalwani,1320000,59502035,5038.4,0.3817,1.40 videos/week,"['Earn Second Salary by running a Faceless YouTube channel 🚀', 'Earn upto Rs. 2000 using AI  🔥', 'Earn upto Rs. 1794 per day as Second Salary in 2025 🚀', 'Smartest way to earn upto Rs. 1350 per day as Second Salary in 2025 🚀', 'Earn upto Rs. 900 per day as Second Salary in 2025 🚀🚀', 'Part Time Trick to Earn upto ₹450 per hour from Home in 2025 🔥📈', '#1 Excel trick to earn upto Rs. 1299 per project as Second Salary in 2025 🚀', 'SALES JOB to DATA ANALYST 🚀 earning 💸💸 LPA', 'Smartest way to earn upto Rs. 1739 per day as Second Salary in 2025 🚀', 'Earn upto Rs. 1309 per day as Second Salary in 2025 🚀', '#1 Trick to earn upto Rs. 1745 per day as Second Salary in 2025 🚀', 'How She became Senior Data Analyst at Walmart in USA 😲', 'Earn Rs. 1365 per day as Second Salary in 2025 🔥', 'Earn upto Rs. 910/day 🚀  #earnmoneyonline', '🔥 Earn upto Rs. 912 per day as Second Salary in 2025 🚀']",Learn With Lokesh Lalwani,UCFAr3FQxRhSzVNOD3vq1gMQ,443,
CA Rahul Malodia: Business Coach,6590000,1043638646,24487.87,0.3716,7.01 videos/week,"['The Real Story of Groww | From Zero to ₹70,000 Crore Empire | Case Study', 'Stock Market का हाल बेहाल! #shorts #stockmarket #stocks', 'अब घूमने के भी सरकार देगी पैसे !  #onlineearning #travel #traveling', 'Ram Mandir, Waqf Board, Babri Masjid & Bulldozer Baba Ft. Shantanu Gupta #shorts', 'Adani group को तोड़ने की साजिश हुई Fail ! #adanigroup #adani', 'BlinkIT बना Zomato के लिए वरदान? #shorts #swiggy #trending', 'आखिर कैसे होती है Films की marketing ? कैसे बनती है Film Superhit? #films #movies #trending', 'अब चुप नहीं बैठेगा India !  | Pahalgam Terror Attack #pahalgam #pahalgamattack', 'HUL vs Honasa: Brand War! #shorts #trending #unilever', 'Kirana vs 10-Min Delivery: कौन जीतेगा? #shorts #blinkit #zepto #swiggy', 'खुद के दम पर खड़ा किया करोड़ो का Business Empire! Sidhi Marwadi Podcast  #shorts #podcast', 'Data Centres की कमी से झूझ रहा भारत! क्यों चाहिए अच्छा Data Centre Infrastructure #shorts #data', 'IPL के बिना कैसे चलेगा JioHotstar? | क्या है Mukesh Ambani की Business Strategy ? #shorts #ambani', 'Zomato कर रहा है आपकी health ख़राब ? #shorts #swiggy #blinkit', 'CSK की Business Growth देखकर हो जाओगे Shock ! ₹10,000 Cr का Business Empire | Case Study']",CA Rahul Malodia: Business Coach,UCPgfM-dk3XAb4T3DtT6Nwsw,1075,
Skillsiya,970000,69682382,2143.53,0.221,0.69 videos/week,"['This FREE AI Tool Changed How You Learn Forever 🔥 | NotebookLM Full Tutorial', 'Top 6 High Paying AI-Proof Tech Skills | 97 Million Jobs Coming By 2030🔥', 'Google 10+ FREE AI Courses 🔥 | FREE Certificates & Cash Rewards, Gifts 🎁', '5 High-Paying Skills for 6-Figure Income (No Degree Required!)', 'ये 6 Best Computer Courses जीवन बदल देंगी ! 2025 | After 10th & 12th | सबसे अधिक Salary', '🔥 FREE 35,000+ Internship LIVE! | Stipend ₹3.6 Lakh + Job Offer – Biggest Fair, Don’t Miss!', '🔥 ISRO Free Python Course with Certification | Master Python, AI & ML | Don’t Miss🚀', 'Cyber Security Expert FREE में कैसे बने? | Google, IBM, TATA Job Ready Courses 🔥 (2025)', 'FREE Online Courses ✅ Get Certified & Job-Ready in 2025!', 'ये 7 High-Value Skills ज़िंदगी बदल देगी! | Everyone Must-Learn in AI Era 2025', 'Learn Storytelling in 8 Minutes – Must-Have Skill in the Age of AI 🔥', 'Animator कैसे बने? | Best 2D Animation Course in Hindi 🔥 | High-Income Skills 2025', '10 Future-Proof Careers Without an Engineering Degree | 🤑High Paying | Irreplaceable🔥', '🔥 Remote Jobs कैसे पाएं? | 8 Best Websites to Get High Paying Jobs', 'Power BI फ्री में सीखो और कमाओ! | Best Freelance Skill 2025 | Learn for FREE in Just 7 Days! 🚀']",Skillsiya,UCsQ6_w5iUOUOMAUPclg2kcg,306,
Spreading Gyan,4480000,335129688,8831.13,0.1971,1.36 videos/week,"['Youtube Channel Kaise Banaye | youtube channel kaise banaen 2025 | How To Create A Youtube Channel', '🤬 Reply To HATERS', 'सब खत्म 😭 2 Community Guidelines Strike ek sath aaya | Channel Delete हो जाएगा मेरा | Please HELP', '🎥 Copyright-Free Shorts से पैसे कैसे कमाएँ? | Reused Content को Monetize करें सही तरीके से!', 'How To Open Demat Account | How To Open Trading Account | Demat Account Kaise Khole', '🔴Live Proof 👉1 Views पर  ₹1 😱 Kitne View Par Kitna Paisa Milta Hai #shorts #spreadinggyan #earning', 'SUBSCRIBERS की बारिश 😲Shorts का New Channel बनाकर Grow करना है तो ये Trick लगाओ || 7 दिन मे VIRAL', '😱""पहला Shorts डालते ही आया Growth? 📈 ऐसी Strategy आजमाओ और Channel Grow करो | Spreading Gyan', '😱आपके YouTube CHANNEL का SETTING ही गड़बड़ है, इसलिए ❌️VIEWS ❌️SUBSCRIBER नही आ रहे ? Spreading Gyan', '😱अगर 90 दीन मे ❌️1000 SUBSCRIBER ❌️10M VIEWS पूरा नही हुआ तो क्या करना होगा ? Youtube Shorts Policy', 'Copyright Claim Kaise Hataye | How To Remove Copyright Claim On Youtube | copyright claim on video', '😱 दूसरो के #Shorts को Copy-Paste करके लाखो कमाओ ( चैनल Monetize होगा) new shorts channel idea', '😱Youtube Video Upload Karne Ka Sahi Tarika | Youtube Par Video Kaise Upload Kare | how to upload', 'Facebook id Kaise Banaen | facebook ki id kaise banaen | facebook account kaise banaye', 'YouTube Monthly Earnings.. (Power Of Youtube) #motivation #spreadinggyan #shorts']",Spreading Gyan,UCZDCqcWZVNyvTSsoc-chKJg,335,
Manoj Dey,7010000,1001589231,11497.53,0.164,4.40 videos/week,"['Long से ज़्यादा पैसा Shorts में 😱 Live Earning Proof | 100K Shorts Views = कितना पैसा ?', 'Complete 1000 Subscribers & 4000 Watchtime in Just 30 Days | New Trick | 100% Working', 'मेरा Monetisation Disabled हो गया 😭 अब Paisa नहीं आयेगा 🙏🏻', 'Good News | Facebook Content Monetisation सबको मिल रहा है 🤩 Facebook Monetisation Big Update🔥', 'Youtube की मनमानी 🤬 Anurag Dwivedi Got 3 Strikes !!', 'ये गलती मत करना Channel Monetise नहीं होगा !! Reused Content Policy 2025', 'Mercedes कितने की पड़ी ? पढ़ाई करे या Youtube ? QNA', 'Sourav Joshi Reality ? Exposed || 5 Cr का Car Collection 🤡', 'इससे अच्छा कोई Mic नहीं ! Dji Wireless Mic For YouTube Videos 🔥', 'Auto-Dubbed क्या है ? कैसे Enable करे ? New Update 2025 🔥', 'sapne humesha bada dekho 😎 #manojdey #shorts', 'Good News | कम Subscribers में भी मिलेगा Sponsorships🤑', 'Good News | Youtube Monetization Biggest Update 2025 | सारा झमेला खत्म हो गया 🤩', 'इस App से रोज़ कमाओ Upto ₹7000 | Best Earning App 2025 🔥', 'Mercedes Kyo Li ?']",Manoj Dey,UCT2xzagsBVtStUCA2ulvKmQ,1728,
We Make Creators,1130000,128286359,640.4,0.0567,3.65 videos/week,"['Live Channel Checking || Friday Special Live Channel Checking || Channel Promotion', 'Live Channel Checking || Friday Special Live Channel Checking || Channel Promotion', '2025 में Viral होने वाले Niche || पैसा और Views भर भर कर आयेगा || Top 3 Viral Niche Ideas of 2025', 'Seo से Viral करे Shorts Video || Shorts Video Seo kaise kare || Youtube Shorts SEO 2025 Tutorials', 'सबसे Fast Grow होने वाले Shorts Channel Ideas ll Top 10 Shorts Channel Ideas ll Grow Shorts Channel', 'कोई भी Video बस 24 Hour में Viral करे || How to Viral YouTube Video In our Niche - Viral secrets', 'सबका Channel Checking होगा || LIVE Channel Checking || Live Channel Checking And Free Promotion', '90 Days में कोई भी Channel Grow करो || How To Grow Channel In 90 Days || 10 Pro Tips For Youtuber', 'JioHotstar Domain वाले बच्चो कि Real Story || 2 Smart Kids Vs JioHotstar || Jainam & Jivika Podcast', '10K Followers से Rs 50,000 Earn करे || Instagram Se Paise kaise Kamaye || How To Grow On Instagram', 'इस Time Reel Viral होता है || Instagram Reel Uploading Time || Best Time To Post Reel On Instagram', 'बिना Face दिखाये Video बना कर लाखो Earn करे || Top 50 Channel Ideas || Channel Ideas For Youtube', 'Youtube Channel से पैसे Earn करे || Youtube Se Paise kaise Kamaye || How To Earn Money On Youtube', 'इस एक 3S Formula से Video Viral होने से कोई नहीं रोक सकता || Grow Your YouTube Channel Fast In 2025', '3S Formula से Video Viral करे || How To Make Viral Youtube Video || 3S Formula To Viral Your Video']",We Make Creators,UCr6hHjMNvgQxErQ1ZJV4drw,1413,
WorkerVoice.in,1230000,107471110,599.4,0.0487,3.12 videos/week,"['Sahara India Ka Paisa Milega ki Nahin, सहारा पोर्टल पर अब क्लेम करें या नहीं | आपके अहम सवाल का जबाव', 'Sahara India Refund payment मिला कि नहीं जब रिक्लेम किया, Sahara India Payment Ke Bare Mein जानकारी', 'Central Government Security Guard Salary अब 27 हजार से भी ज्यादा मिलेगा, Private Security Guard News', 'Sahara India Portal रिफंड नहीं मिला, Canara Bank में कितना सैलरी मिलना चाहिए Worker Voice Live', 'Kishan Fasal Muavja 2025 विरोध प्रदर्शन, अनुमंडल कृषि पदाधिकारी के सामनेसुरजीत शामिल ने रखा यह मांग', 'Kisan ko Muavja Kaise Milega - किसानों का फसल नुकसान मुआवजा, पटोरी कृषि पदाधिकारी ने कहा?', 'Sahara India ka Paisa और प्राईवेट कर्मचारी का नौकरी से जुड़ा सवाल फोन Live on Sunday @WorkerVoice', 'Sahara India Ka Paisa पाने का बेहतरीन मौका, मोदी जी के चुनाव से पहले यह करें | Sahara Refund 2025', 'Minimum Wages in Delhi April 2025 मंहगाई भत्ता खुशखबरी, दिल्ली सरकार प्राइवेट कर्मचारी सैलरी बढ़ोतरी?', 'Sahara India ka Paisa और प्राईवेट कर्मचारी का नौकरी से जुड़ा सवाल फोन on Sunday Live @WorkerVoice', 'बिहार में किसानों का फसल का भारी नुकसांन  Kisanon Ko Muaawja Kab Milega, पटोरी धमौन से मांग उठाया', 'पटोरी प्रखंड RTPS काउंटर पर हुआ हंगामा, फिर ऐसे निकला समाधान? Cast Income Residence OBC Certificate', 'Patori के  छात्रों के लिए खुशखबरी, अभी एक दिन में मिलेगा प्रमाण पत्र | Bihar RTPS  Certificate News', 'Central Government Minimum Wage April 2025 खुशखबरी, केंद्र सरकार कॉन्ट्रैक्ट कर्मचारी की सैलरी बढ़ी?', 'Bihar Land Survey Last Date- बिहार भूमि सर्वे आवेदन करने का तारीख 31 मार्च 2025, डेट बढ़ेगा या नहीं?']",WorkerVoice.in,UCfj7SPM25A3RQSYE1YFPyVQ,1379,
